filename,expected_medicine,predicted_medicine,expected_dosage,predicted_dosage,confidence,error,manual_input_required,status
amlodipine.jpeg,amlodipine,amlodipine,10 mg,,0.5645847591920662,,True,wrong_or_missing_dosage
aspirin.jpeg,aspirin,aspirin,,,0.3761048357896027,,True,manual_input_needed
cisplatin.jpeg,cisplatin,cisplat,100 mg,,0.18460538817194275,,True,wrong_medicine
clotrimazole.jpeg,clotrimazole,trlma,50 g,50g,0.48741401381987715,,False,wrong_medicine
enalapril.jpeg,enalapril,enalapril,5 mg,,0.45647308378629475,,True,wrong_or_missing_dosage
ibuprofen.jpeg,ibuprofen,ibuprofen,400 mg,,0.46549799243303225,,True,wrong_or_missing_dosage
loperamide.jpeg,loperamide,loperamide,2 mg,2mg,0.7296840583786235,,False,wrong_or_missing_dosage
loratadine.jpeg,loratadine,ydilc,10 mg,,0.3054209541539593,,True,wrong_medicine
metformin.jpeg,metformin,prolonged,,,0.7109950061458765,,True,wrong_medicine
metoprolol.jpeg,metoprolol,metoprolol,,,0.4656077421876383,,True,manual_input_needed
pantoprazole.jpeg,pantoprazole,pantoprazole,40 mg,,0.6604256820321617,,True,wrong_or_missing_dosage
paracetamol.jpeg,paracetamol,clc,650 mg,,0.39242406103698113,,True,wrong_medicine
pirfenidone.jpeg,perfenidone,pirfenidone,267 mg,267 mg,0.934598399042887,,False,wrong_medicine
rifampicin.jpeg,rifampicin,rifampici,150 mg,,0.6691454295388981,,True,wrong_medicine
rosuvastatin.jpeg,rosuvastatin,rosivastatin,5 mg,5 mg,0.8078096812847022,,False,wrong_medicine
tacrolimus.jpeg,tacrolimus,tacrolimus,20 g,,0.49104045670921587,,True,wrong_or_missing_dosage
vancomycin.jpeg,vancomycin,vancomvei,1 g,,0.36959452092856404,,True,wrong_medicine
